DISTRICTE;CODI_ILLA;SECC_CENS;BARRI;NOM_DISTRICTE;NOM_BARRI;AEB;HABITANTS;NUM_PARC;NUM_LOCALS;NUM_VIVENDES;NUM_PARKINGS;NUM_ALTRES;SUP_CONS;SUP_SOBRE_RASANT;SUP_SOTA_RASANT;SUP_LOCALS;SUP_SERVEIS;SUP_SOL;DATA_DADES
03;70210;047;15;Sants-Montjuic;Hostafrancs;066;365;18;574;208;259;107;46562;45892;670;36868;9694;8010;15/04/15
03;70220;048;15;Sants-Montjuic;Hostafrancs;066;340;18;468;181;262;25;27752;20785;6967;26638;1114;10977;15/04/15
03;70230;048;15;Sants-Montjuic;Hostafrancs;066;176;14;432;88;261;83;31568;31272;296;23715;7853;6992;15/04/15
03;70240;048;15;Sants-Montjuic;Hostafrancs;066;0;2;35;0;3;32;32168;27284;4884;32168;0;5215;15/04/15
03;70250;048;15;Sants-Montjuic;Hostafrancs;066;0;4;84;0;3;81;65293;63488;1805;60860;4433;6654;15/04/15
03;70260;048;15;Sants-Montjuic;Hostafrancs;066;544;18;471;267;148;56;38541;34708;3833;35712;3006;7547;15/04/15
03;70270;048;15;Sants-Montjuic;Hostafrancs;066;348;22;531;219;243;69;30545;29134;1411;27957;2588;8661;15/04/15
03;70280;049;15;Sants-Montjuic;Hostafrancs;066;257;30;285;194;39;52;17578;16683;895;15705;1873;6953;15/04/15
03;70290;049;15;Sants-Montjuic;Hostafrancs;066;118;8;146;72;57;17;8063;6974;1089;6756;1384;1398;15/04/15
03;70300;047;15;Sants-Montjuic;Hostafrancs;066;661;23;406;286;49;71;40419;39107;1312;37251;3168;7950;15/04/15
03;70310;047;15;Sants-Montjuic;Hostafrancs;066;273;21;212;154;0;58;21581;20886;695;20328;1345;4457;15/04/15
03;70320;049;15;Sants-Montjuic;Hostafrancs;066;438;26;271;198;23;50;18075;18075;0;16316;1759;4594;15/04/15
03;70330;049;15;Sants-Montjuic;Hostafrancs;066;321;9;182;133;29;20;13068;12491;577;11536;1532;2728;15/04/15
03;70341;050;15;Sants-Montjuic;Hostafrancs;066;183;11;142;115;12;15;7674;7046;628;6490;1184;2268;15/04/15
03;70342;050;15;Sants-Montjuic;Hostafrancs;066;0;1;0;0;0;0;0;0;0;0;0;1430;15/04/15
03;70350;050;15;Sants-Montjuic;Hostafrancs;066;225;16;149;106;8;35;11404;11351;53;10424;980;3007;15/04/15
03;70360;047;15;Sants-Montjuic;Hostafrancs;066;129;10;124;76;0;48;8852;8635;217;8034;818;2083;15/04/15
03;70370;047;15;Sants-Montjuic;Hostafrancs;066;15;2;18;10;0;8;1157;1157;0;1063;94;205;15/04/15
03;70380;050;15;Sants-Montjuic;Hostafrancs;066;108;18;117;79;1;37;16613;16350;263;15842;771;5374;15/04/15
03;70390;050;15;Sants-Montjuic;Hostafrancs;066;39;7;494;70;373;51;19409;6153;13256;12078;7331;5747;15/04/15
03;70400;050;15;Sants-Montjuic;Hostafrancs;066;202;10;134;101;18;15;8302;8302;0;7465;837;1888;15/04/15
03;70411;050;15;Sants-Montjuic;Hostafrancs;066;457;12;372;186;144;42;21443;20355;1088;19478;1965;4606;15/04/15
03;70412;050;15;Sants-Montjuic;Hostafrancs;066;0;1;0;0;0;0;0;0;0;0;0;442;15/04/15
03;70420;050;15;Sants-Montjuic;Hostafrancs;066;412;27;438;220;120;98;29230;25874;3356;25005;4263;6258;15/04/15
03;70433;049;15;Sants-Montjuic;Hostafrancs;066;554;14;551;279;222;50;41220;38000;3220;38188;3032;21510;15/04/15
03;70435;106;18;Sants-Montjuic;Sants;075;87;9;63;39;0;24;22045;21836;209;21756;289;44503;15/04/15
03;70440;106;18;Sants-Montjuic;Sants;075;125;16;94;73;2;19;10761;9486;1275;10150;611;3700;15/04/15
03;70450;105;18;Sants-Montjuic;Sants;075;61;9;99;76;3;20;9518;7581;1937;8258;1260;1972;15/04/15
03;70461;105;18;Sants-Montjuic;Sants;075;85;7;75;52;4;19;4725;4429;296;3961;764;1221;15/04/15
03;70462;105;18;Sants-Montjuic;Sants;075;1;2;6;4;0;2;586;586;0;519;67;307;15/04/15
03;70470;105;18;Sants-Montjuic;Sants;075;27;1;15;14;0;1;1105;1105;0;847;258;176;15/04/15
03;70480;105;18;Sants-Montjuic;Sants;075;116;13;111;81;4;26;6533;6533;0;5928;605;2149;15/04/15
03;70490;106;18;Sants-Montjuic;Sants;075;200;19;140;109;0;31;11014;11014;0;10212;802;3218;15/04/15
03;70500;106;18;Sants-Montjuic;Sants;075;266;18;225;132;73;20;13278;11385;1893;11363;1915;3910;15/04/15
03;70510;106;18;Sants-Montjuic;Sants;075;138;13;162;98;19;45;8234;8141;93;7173;1061;2161;15/04/15
03;70520;106;18;Sants-Montjuic;Sants;075;163;14;117;91;0;26;11581;11581;0;10593;988;3021;15/04/15
03;70530;106;18;Sants-Montjuic;Sants;075;209;16;175;134;1;40;12736;12736;0;11698;1038;3387;15/04/15
03;70540;106;18;Sants-Montjuic;Sants;075;95;12;82;42;5;35;9046;9046;0;8584;462;2508;15/04/15
03;70550;105;18;Sants-Montjuic;Sants;075;237;20;161;122;0;39;11695;11695;0;10627;1068;3426;15/04/15
03;70560;105;18;Sants-Montjuic;Sants;075;496;41;371;263;33;75;27993;27242;751;25391;2602;7772;15/04/15
03;70570;105;18;Sants-Montjuic;Sants;075;158;7;131;77;8;46;15030;15030;0;14067;963;2856;15/04/15
03;70580;108;18;Sants-Montjuic;Sants;076;261;40;234;162;13;59;18027;17796;231;16101;1926;6562;15/04/15
03;70590;108;18;Sants-Montjuic;Sants;076;580;37;392;292;51;49;29946;29611;335;26736;3210;8634;15/04/15
03;70600;107;18;Sants-Montjuic;Sants;076;81;10;67;39;0;28;7180;7180;0;6748;432;2537;15/04/15
03;70610;107;18;Sants-Montjuic;Sants;076;189;11;138;114;0;24;10244;10244;0;9430;814;2294;15/04/15
03;70620;108;18;Sants-Montjuic;Sants;076;226;25;170;137;2;31;12638;12499;139;11510;1146;3872;15/04/15
03;70630;108;18;Sants-Montjuic;Sants;076;225;23;206;115;53;38;12614;12614;0;11482;1132;4283;15/04/15
03;70640;108;18;Sants-Montjuic;Sants;076;303;25;185;158;1;26;14662;14662;0;13005;1657;4258;15/04/15
03;70650;109;18;Sants-Montjuic;Sants;076;144;9;157;82;55;20;9741;8450;1291;8484;1257;2211;15/04/15
03;70660;109;18;Sants-Montjuic;Sants;076;438;42;318;244;7;67;24237;23962;275;21965;2272;9009;15/04/15
03;70670;109;18;Sants-Montjuic;Sants;076;437;39;328;253;31;44;23671;23390;281;21226;2445;8172;15/04/15
03;70680;109;18;Sants-Montjuic;Sants;076;468;46;397;264;40;93;29003;29003;0;26373;2630;9851;15/04/15
03;70690;110;18;Sants-Montjuic;Sants;076;140;16;129;93;1;35;11207;11207;0;10159;1048;3181;15/04/15
03;70700;110;18;Sants-Montjuic;Sants;076;157;13;128;84;17;27;10032;8309;1723;8446;1586;2326;15/04/15
03;70710;110;18;Sants-Montjuic;Sants;076;280;19;228;142;54;32;14531;14531;0;13162;1369;3975;15/04/15
03;70721;110;18;Sants-Montjuic;Sants;076;337;15;297;202;41;54;27172;27027;145;24843;2329;5051;15/04/15
03;70722;110;18;Sants-Montjuic;Sants;076;298;24;293;161;62;70;26786;23411;3375;24319;2467;8612;15/04/15
03;70770;107;18;Sants-Montjuic;Sants;076;134;8;404;56;299;49;44932;34001;10931;36308;8624;8214;15/04/15
03;70781;107;18;Sants-Montjuic;Sants;076;0;2;0;0;0;0;0;0;0;0;0;4568;15/04/15
03;70782;107;18;Sants-Montjuic;Sants;076;9;3;21;0;0;21;22083;22083;0;22013;70;12089;15/04/15
03;70791;107;18;Sants-Montjuic;Sants;076;620;16;608;314;229;65;42939;41933;1006;39785;3154;10082;15/04/15
03;70792;107;18;Sants-Montjuic;Sants;076;0;2;2;0;0;2;1044;1044;0;1044;0;4668;15/04/15
03;70793;106;18;Sants-Montjuic;Sants;075;0;1;3;0;0;3;10090;10090;0;10090;0;9966;15/04/15
03;70794;106;18;Sants-Montjuic;Sants;075;0;1;1;0;1;0;2600;2600;0;2600;0;4037;15/04/15
03;70795;106;18;Sants-Montjuic;Sants;075;0;2;19;0;1;18;144017;144017;0;144017;0;94252;15/04/15
03;70796;106;18;Sants-Montjuic;Sants;075;0;1;0;0;0;0;0;0;0;0;0;12165;15/04/15
03;70797;107;18;Sants-Montjuic;Sants;076;53;10;38;26;0;12;3031;3031;0;2705;326;4761;15/04/15
03;70798;106;18;Sants-Montjuic;Sants;075;0;1;0;0;0;0;0;0;0;0;0;4957;15/04/15
03;70800;107;18;Sants-Montjuic;Sants;076;181;17;189;113;40;36;12968;11656;1312;10904;2064;4598;15/04/15
03;70810;107;18;Sants-Montjuic;Sants;076;280;24;375;151;169;55;20921;19384;1537;19647;1274;5540;15/04/15
03;70820;111;18;Sants-Montjuic;Sants;076;310;17;210;166;13;31;13227;12954;273;12044;1183;3339;15/04/15
03;70830;111;18;Sants-Montjuic;Sants;076;287;24;583;156;343;84;25684;16686;8998;18755;6929;6197;15/04/15
03;70840;111;18;Sants-Montjuic;Sants;076;724;29;497;375;42;80;38331;38088;243;34298;4033;8100;15/04/15
03;70850;112;18;Sants-Montjuic;Sants;076;1221;26;959;551;284;124;92847;80165;12682;86626;6221;13166;15/04/15
03;70860;112;18;Sants-Montjuic;Sants;076;666;25;910;396;349;165;47331;39715;7616;39363;7968;9371;15/04/15
03;70871;110;18;Sants-Montjuic;Sants;076;283;19;266;168;53;45;17035;16526;509;15173;1862;3730;15/04/15
03;70872;110;18;Sants-Montjuic;Sants;076;0;1;0;0;0;0;0;0;0;0;0;1181;15/04/15
03;71020;114;18;Sants-Montjuic;Sants;076;238;8;191;126;0;65;15795;15795;0;14393;1402;2030;15/04/15
03;71031;113;18;Sants-Montjuic;Sants;076;1574;24;1446;786;525;135;150015;132002;18013;134337;15678;32236;15/04/15
03;71032;114;18;Sants-Montjuic;Sants;076;1226;18;1429;590;656;183;109122;104987;4135;99999;9123;14149;15/04/15
03;71060;091;18;Sants-Montjuic;Sants;072;194;12;144;84;15;45;12536;12440;96;11427;1109;3070;15/04/15
03;71071;090;18;Sants-Montjuic;Sants;072;407;1;226;203;0;23;20854;20548;306;18739;2115;3023;15/04/15
